player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud
Bryan Woo,SEA,Pitcher Strikeouts,6.0,6.5,−140,Under,6.5,+110,-150
Clayton Kershaw,LAD,Pitcher Strikeouts,3.5,3.5,−115,Over,3.5,-136,+100
Germán Márquez,COL,Pitcher Strikeouts,4.0,4.5,−155,Under,4.5,+122,-167
Hunter Brown,HOU,Pitcher Strikeouts,7.0,7.5,−140,Under,7.5,+104,-141
Jacob Latz,TEX,Pitcher Strikeouts,4.0,,,,4.5,+105,-141
José Quintana,MIL,Pitcher Strikeouts,3.0,3.5,−145,Under,3.5,+106,-143
Joe Ryan,MIN,Pitcher Strikeouts,7.0,6.5,−145,Over,6.5,-159,+117
Merrill Kelly,AZ,Pitcher Strikeouts,5.0,5.5,−150,Under,4.5,-150,+110
Miles Mikolas,STL,Pitcher Strikeouts,3.5,3.5,−130,Under,3.5,-104,-132
Tarik Skubal,DET,Pitcher Strikeouts,8.0,7.5,−155,Over,7.5,-154,+115
