player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Aaron Civale,CWS,Pitcher Strikeouts,3.0,3.5,−150,Under,3.5,-103,-134,0.0,HIT
Brayan Bello,BOS,Pitcher Strikeouts,5.0,5.5,−145,Under,5.5,122,-164,10.0,MISS
Brandon Young,BAL,Pitcher Strikeouts,3.5,3.5,−125,Over,3.5,-122,-110,6.0,HIT
Chris Bassitt,TOR,Pitcher Strikeouts,5.0,4.5,−150,Over,5.5,107,-159,1.0,MISS
Clay Holmes,NYM,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-134,-103,5.0,HIT
Clayton Kershaw,LAD,Pitcher Strikeouts,4.0,3.5,−140,Over,4.5,119,-162,3.0,MISS
Didier Fuentes,ATL,Pitcher Strikeouts,5.0,4.5,−135,Over,4.5,-145,108,2.0,MISS
Hunter Brown,HOU,Pitcher Strikeouts,7.0,6.5,−135,Over,6.5,-164,121,3.0,MISS
Jack Flaherty,DET,Pitcher Strikeouts,6.0,5.5,−160,Over,5.5,-145,108,8.0,HIT
Jake Irvin,WSH,Pitcher Strikeouts,3.5,3.5,−125,Under,3.5,-115,-118,3.0,HIT
Jacob Misiorowski,MIL,Pitcher Strikeouts,5.0,5.5,−150,Under,5.5,120,-162,12.0,MISS
Jeffrey Springs,ATH,Pitcher Strikeouts,4.5,4.5,−135,Under,4.5,-112,-121,2.0,HIT
Joey Cantillo,CLE,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-129,-106,7.0,HIT
José Soriano,LAA,Pitcher Strikeouts,5.0,4.5,−135,Over,4.5,-148,109,,
Kyle Freeland,COL,Pitcher Strikeouts,4.0,4.5,−140,Under,4.5,106,-143,6.0,MISS
Logan Gilbert,SEA,Pitcher Strikeouts,7.0,6.5,−140,Over,6.5,-154,114,5.0,MISS
Merrill Kelly,AZ,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-102,-134,4.0,HIT
Mitch Keller,PIT,Pitcher Strikeouts,4.0,4.5,−160,Under,4.5,121,-164,5.0,MISS
Nathan Eovaldi,TEX,Pitcher Strikeouts,6.0,5.5,−145,Over,5.5,-134,-102,6.0,PUSH
Nick Martinez,CIN,Pitcher Strikeouts,4.0,3.5,−160,Over,3.5,-152,112,2.0,MISS
Nick Pivetta,SD,Pitcher Strikeouts,6.0,6.5,−160,Under,5.5,-136,-102,7.0,MISS
Robbie Ray,SF,Pitcher Strikeouts,6.5,6.5,−120,Under,6.5,-104,-132,5.0,HIT
Ryan Pepiot,TB,Pitcher Strikeouts,5.5,5.5,−125,Over,5.5,-125,-108,6.0,HIT
Seth Lugo,KC,Pitcher Strikeouts,6.0,5.5,−130,Over,5.5,-136,100,5.0,MISS
Shota Imanaga,CHC,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-115,-115,1.0,MISS
Simeon Woods Richardson,MIN,Pitcher Strikeouts,4.0,3.5,−160,Over,3.5,-167,124,4.0,PUSH
Sonny Gray,STL,Pitcher Strikeouts,5.5,5.5,−120,Under,5.5,-121,-121,6.0,MISS
Will Warren,NYY,Pitcher Strikeouts,6.0,5.5,−125,Over,5.5,-137,102,4.0,MISS
