player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Clayton Kershaw,LAD,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-130.0,-102.0,3.0,MISS
Cristopher Sánchez,PHI,Pitcher Strikeouts,5.0,5.5,−155,Under,,,,,
Didier Fuentes,ATL,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-102.0,-130.0,6.0,MISS
Dylan Cease,SD,Pitcher Strikeouts,6.5,6.5,−125,Under,,,,4.0,HIT
Hunter Brown,HOU,Pitcher Strikeouts,7.0,6.5,−150,Over,6.5,-141.0,107.0,8.0,HIT
Jack Flaherty,DET,Pitcher Strikeouts,5.5,5.5,−135,Over,,,,9.0,HIT
Janson Junk,MIA,Pitcher Strikeouts,4.0,3.5,−130,Over,3.5,-143.0,108.0,7.0,HIT
José Berríos,TOR,Pitcher Strikeouts,5.0,5.5,−140,Under,5.5,110.0,-145.0,,
Landen Roupp,SF,Pitcher Strikeouts,4.0,3.5,−160,Over,3.5,-170.0,127.0,4.0,PUSH
Logan Gilbert,SEA,Pitcher Strikeouts,6.5,6.5,−125,Over,6.5,-136.0,102.0,7.0,HIT
MacKenzie Gore,WSH,Pitcher Strikeouts,7.0,7.5,−155,Under,,,,2.0,HIT
Merrill Kelly,AZ,Pitcher Strikeouts,6.0,5.5,−145,Over,5.5,-157.0,118.0,3.0,MISS
Nathan Eovaldi,TEX,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-130.0,-103.0,5.0,HIT
Noah Cameron,KC,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-167.0,125.0,5.0,PUSH
Shota Imanaga,CHC,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-150.0,113.0,4.0,MISS
Simeon Woods Richardson,MIN,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,113.0,-150.0,3.0,HIT
Tanner Bibee,CLE,Pitcher Strikeouts,5.0,5.5,−155,Under,5.5,116.0,-154.0,5.0,PUSH
Tomoyuki Sugano,BAL,Pitcher Strikeouts,3.0,2.5,−175,Over,3.5,109.0,-145.0,5.0,HIT
Will Warren,NYY,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-124.0,-108.0,4.0,MISS
Yusei Kikuchi,LAA,Pitcher Strikeouts,5.5,5.5,−125,Under,5.5,-115.0,-115.0,7.0,MISS
