player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud
Eric Lauer,TOR,Pitcher Strikeouts,5.0,4.5,−165,Over,4.5,-176,+130
Jason Alexander,HOU,Pitcher Strikeouts,4.0,4.5,−155,Under,4.5,+113,-154
Logan Evans,SEA,Pitcher Strikeouts,4.0,3.5,−155,Over,4.5,+128,-173
Logan Webb,SF,Pitcher Strikeouts,5.5,,,,5.5,-127,-107
Luis Severino,ATH,Pitcher Strikeouts,5.0,5.5,−165,Under,4.5,-134,-103
Reese Olson,DET,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,+116,-157
Sonny Gray,STL,Pitcher Strikeouts,5.0,5.5,−155,Under,5.5,+106,-143
Yu Darvish,SD,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,+123,-167
Yusei Kikuchi,LAA,Pitcher Strikeouts,6.0,6.5,−145,Under,6.5,+109,-148
