player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud
Aaron Civale,CWS,Pitcher Strikeouts,4.0,3.5,−160,Over,4.5,+126,-170
Austin Gomber,COL,Pitcher Strikeouts,3.5,3.5,−125,Under,3.5,-120,-113
Clay Holmes,NYM,Pitcher Strikeouts,3.0,2.5,−180,Over,3.5,+138,-189
Cristopher Sánchez,PHI,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-141,+104
Freddy Peralta,MIL,Pitcher Strikeouts,6.0,6.5,−155,Under,6.5,+104,-141
Hunter Brown,HOU,Pitcher Strikeouts,6.0,6.5,−155,Under,6.5,+116,-159
Jack Flaherty,DET,Pitcher Strikeouts,6.5,6.5,−120,Under,6.5,-109,-125
Jake Irvin,WSH,Pitcher Strikeouts,4.0,4.5,−170,Under,3.5,-157,+116
Jeffrey Springs,ATH,Pitcher Strikeouts,4.0,3.5,−160,Over,3.5,-164,+122
José Berríos,TOR,Pitcher Strikeouts,5.0,4.5,−155,Over,4.5,-162,+120
José Soriano,LAA,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-125,-109
Mitch Keller,PIT,Pitcher Strikeouts,5.0,,,,5.5,+124,-167
Nathan Eovaldi,TEX,Pitcher Strikeouts,5.0,5.5,−150,Under,5.5,+116,-157
Nick Martinez,CIN,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-136,+100
Nick Pivetta,SD,Pitcher Strikeouts,6.0,6.5,−155,Under,5.5,-167,+123
Noah Cameron,KC,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-103,-134
Simeon Woods Richardson,MIN,Pitcher Strikeouts,4.0,4.5,−135,Under,4.5,+105,-143
Sonny Gray,STL,Pitcher Strikeouts,5.0,5.5,−125,Under,5.5,+116,-157
Yoshinobu Yamamoto,LAD,Pitcher Strikeouts,6.0,5.5,−135,Over,5.5,-132,-103
