player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Andrew Abbott,CIN,Pitcher Strikeouts,5.0,4.5,−155,Over,4.5,-150,111,5.0,PUSH
Andre Pallante,STL,Pitcher Strikeouts,4.0,3.5,−150,Over,3.5,-157,115,1.0,MISS
Antonio Senzatela,COL,Pitcher Strikeouts,3.0,2.5,−165,Over,3.5,122,-167,3.0,PUSH
Bryce Elder,ATL,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-170,125,7.0,HIT
Brandon Pfaadt,AZ,Pitcher Strikeouts,4.5,4.5,−125,Under,4.5,100,-136,4.0,HIT
Brandon Walter,HOU,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-107,-127,7.0,HIT
Cade Horton,CHC,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,115,-157,5.0,MISS
David Festa,MIN,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-110,-124,3.0,HIT
David Peterson,NYM,Pitcher Strikeouts,5.5,5.5,−140,Over,5.5,-134,-103,,
Dylan Cease,SD,Pitcher Strikeouts,6.5,6.5,−120,Under,6.5,-118,-114,8.0,MISS
Jesús Luzardo,PHI,Pitcher Strikeouts,6.0,5.5,−160,Over,5.5,-154,114,,
Justin Verlander,SF,Pitcher Strikeouts,4.0,4.5,−140,Under,4.5,111,-152,7.0,MISS
Kris Bubic,KC,Pitcher Strikeouts,6.0,6.5,−145,Under,6.5,113,-154,6.0,PUSH
Kumar Rocker,TEX,Pitcher Strikeouts,5.0,5.5,−155,Under,5.5,118,-159,2.0,HIT
Kyle Hendricks,LAA,Pitcher Strikeouts,3.5,3.5,−120,Over,3.5,-129,-106,3.0,MISS
Logan Evans,SEA,Pitcher Strikeouts,3.5,3.5,−135,Over,3.5,-152,112,2.0,MISS
Lucas Giolito,BOS,Pitcher Strikeouts,6.0,6.5,−130,Under,6.5,111,-150,6.0,PUSH
MacKenzie Gore,WSH,Pitcher Strikeouts,5.5,5.5,−120,Under,5.5,-125,-108,7.0,MISS
Mitch Spence,ATH,Pitcher Strikeouts,4.0,3.5,−145,Over,3.5,-164,121,3.0,MISS
Reese Olson,DET,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-143,105,1.0,MISS
Sandy Alcantara,MIA,Pitcher Strikeouts,5.0,4.5,−155,Over,4.5,-139,103,4.0,MISS
Slade Cecconi,CLE,Pitcher Strikeouts,4.5,4.5,−135,Over,4.5,-136,100,9.0,HIT
Tomoyuki Sugano,BAL,Pitcher Strikeouts,3.0,2.5,−180,Over,3.5,128,-173,,
Zack Littell,TB,Pitcher Strikeouts,4.0,4.5,−155,Under,4.5,109,-148,4.0,PUSH
