player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Andrew Heaney,PIT,Pitcher Strikeouts,3.5,3.5,−120,Under,3.5,-120,-125,2.0,HIT
Austin Gomber,COL,Pitcher Strikeouts,3.5,3.5,−140,Under,3.5,-106,-141,5.0,MISS
Brady Singer,CIN,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-164,109,3.0,MISS
Colton Gordon,HOU,Pitcher Strikeouts,4.0,3.5,−170,Over,4.5,115,-173,2.0,MISS
Cristopher Sánchez,PHI,Pitcher Strikeouts,6.0,5.5,−140,Over,5.5,-141,-106,,
Freddy Peralta,MIL,Pitcher Strikeouts,6.0,5.5,−145,Over,5.5,-167,112,7.0,HIT
Jacob deGrom,TEX,Pitcher Strikeouts,7.0,7.5,−155,Under,6.5,-164,110,5.0,HIT
Janson Junk,MIA,Pitcher Strikeouts,4.0,4.5,−165,Under,4.5,109,-164,3.0,HIT
José Berríos,TOR,Pitcher Strikeouts,4.5,4.5,−115,Under,4.5,-115,-115,,
Keider Montero,DET,Pitcher Strikeouts,3.0,3.5,−135,Under,3.5,107,-159,4.0,MISS
Landen Roupp,SF,Pitcher Strikeouts,4.5,4.5,−140,Under,4.5,103,-137,3.0,HIT
Noah Cameron,KC,Pitcher Strikeouts,4.5,4.5,−125,Over,4.5,-141,-106,7.0,HIT
Richard Fitts,BOS,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-139,-108,6.0,HIT
Sean Burke,CWS,Pitcher Strikeouts,4.0,3.5,−130,Over,4.5,136,-205,2.0,MISS
Shane Baz,TB,Pitcher Strikeouts,5.0,5.5,−140,Under,5.5,-105,-143,7.0,MISS
Tanner Bibee,CLE,Pitcher Strikeouts,5.5,5.5,−130,Under,5.5,115,-173,3.0,HIT
Yoshinobu Yamamoto,LAD,Pitcher Strikeouts,6.0,6.5,−160,Under,5.5,-159,107,0.0,HIT
Yu Darvish,SD,Pitcher Strikeouts,4.0,3.5,−155,Over,3.5,-179,119,5.0,HIT
Yusei Kikuchi,LAA,Pitcher Strikeouts,6.0,6.5,−165,Under,6.5,115,-170,4.0,HIT
Zac Gallen,AZ,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-148,100,9.0,HIT
