player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud
Bailey Falter,PIT,Pitcher Strikeouts,3.5,3.5,−120,Under,3.5,-107,-127
Chris Bassitt,TOR,Pitcher Strikeouts,5.0,5.5,−160,Under,5.5,+116,-157
Charlie Morton,BAL,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-157,+116
Colin Rea,CHC,Pitcher Strikeouts,4.0,4.5,−140,Under,4.5,+129,-176
Dylan Cease,SD,Pitcher Strikeouts,6.0,5.5,−155,Over,5.5,-170,+126
Jesús Luzardo,PHI,Pitcher Strikeouts,6.5,6.5,−115,Over,6.5,-112,-121
Jonathan Cannon,CWS,Pitcher Strikeouts,3.5,3.5,−135,Over,3.5,-134,-102
Justin Verlander,SF,Pitcher Strikeouts,4.0,3.5,−170,Over,3.5,-173,+128
Lucas Giolito,BOS,Pitcher Strikeouts,5.0,5.5,−160,Under,5.5,+111,-152
Nick Lodolo,CIN,Pitcher Strikeouts,5.0,,,,5.5,+115,-157
Patrick Corbin,TEX,Pitcher Strikeouts,4.5,4.5,−135,Under,4.5,-115,-115
Reese Olson,DET,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-127,-107
Slade Cecconi,CLE,Pitcher Strikeouts,5.0,5.5,−145,Under,5.5,+112,-152
Taj Bradley,TB,Pitcher Strikeouts,5.0,5.5,−115,Under,5.5,+106,-143
