player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Aaron Civale,CWS,Pitcher Strikeouts,4.0,3.5,−130,Over,3.5,-159.0,120.0,4.0,PUSH
Bryce Elder,ATL,Pitcher Strikeouts,4.5,4.5,−125,Over,4.5,-130.0,-102.0,5.0,HIT
Brandon Pfaadt,AZ,Pitcher Strikeouts,5.0,4.5,−120,Over,4.5,-145.0,110.0,8.0,HIT
Brandon Walter,HOU,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-115.0,-115.0,3.0,MISS
Cade Horton,CHC,Pitcher Strikeouts,4.0,3.5,−130,Over,3.5,-136.0,103.0,5.0,HIT
Chris Bassitt,TOR,Pitcher Strikeouts,5.5,5.5,−135,Over,5.5,-134.0,101.0,9.0,HIT
Clarke Schmidt,NYY,Pitcher Strikeouts,4.0,4.5,−130,Under,,,,1.0,HIT
David Peterson,NYM,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-137.0,104.0,4.0,MISS
Dietrich Enns,DET,Pitcher Strikeouts,4.0,3.5,−165,Over,4.5,133.0,-179.0,3.0,MISS
Dustin May,LAD,Pitcher Strikeouts,5.0,4.5,−140,Over,4.5,-136.0,102.0,9.0,HIT
Jake Irvin,WSH,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,113.0,-150.0,4.0,PUSH
Jesús Luzardo,PHI,Pitcher Strikeouts,6.5,,,,6.5,-118.0,-113.0,,
José Quintana,MIL,Pitcher Strikeouts,4.0,3.5,−145,Over,3.5,-154.0,116.0,3.0,MISS
José Soriano,LAA,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,105.0,-139.0,,
Kyle Freeland,COL,Pitcher Strikeouts,3.0,3.5,−165,Under,3.5,126.0,-167.0,2.0,HIT
Logan Evans,SEA,Pitcher Strikeouts,3.5,3.5,−130,Over,3.5,-124.0,-107.0,3.0,MISS
Quinn Priester,MIL,Pitcher Strikeouts,4.5,,,,4.5,-108.0,-124.0,,
Robbie Ray,SF,Pitcher Strikeouts,6.0,6.5,−145,Under,6.5,120.0,-159.0,7.0,MISS
Seth Lugo,KC,Pitcher Strikeouts,5.5,5.5,−115,Under,5.5,-110.0,-121.0,7.0,MISS
