player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Andre Pallante,STL,Pitcher Strikeouts,4.0,3.5,−145,Over,4.5,121,-164,5.0,HIT
Brandon Pfaadt,AZ,Pitcher Strikeouts,5.5,5.5,−135,Over,5.5,-120,-114,5.0,MISS
Brandon Walter,HOU,Pitcher Strikeouts,4.0,4.5,−160,Under,4.5,125,-170,5.0,MISS
Chris Bassitt,TOR,Pitcher Strikeouts,5.5,5.5,−120,Under,5.5,-113,-121,8.0,MISS
Chris Paddack Jr.,MIN,Pitcher Strikeouts,3.5,3.5,−125,Over,3.5,-115,-115,8.0,HIT
Colin Rea,CHC,Pitcher Strikeouts,4.0,3.5,−140,Over,3.5,-150,110,3.0,MISS
Jesús Luzardo,PHI,Pitcher Strikeouts,6.5,6.5,−125,Over,6.5,-134,-103,,
Jonathan Cannon,CWS,Pitcher Strikeouts,3.0,3.5,−150,Under,3.5,116,-157,9.0,MISS
JP Sears,ATH,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,107,-145,7.0,MISS
Luis Castillo,SEA,Pitcher Strikeouts,5.5,5.5,−115,Over,5.5,-113,-121,7.0,HIT
Lucas Giolito,BOS,Pitcher Strikeouts,5.0,5.5,−140,Under,5.5,106,-145,2.0,HIT
Max Fried,NYY,Pitcher Strikeouts,4.5,4.5,−120,Under,4.5,-107,-127,3.0,HIT
Patrick Corbin,TEX,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-110,-124,7.0,HIT
Quinn Priester,MIL,Pitcher Strikeouts,5.0,4.5,−135,Over,4.5,-134,-102,6.0,HIT
Seth Lugo,KC,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-154,113,6.0,HIT
Slade Cecconi,CLE,Pitcher Strikeouts,5.0,4.5,−165,Over,5.5,119,-162,2.0,MISS
Taj Bradley,TB,Pitcher Strikeouts,5.5,5.5,−135,Under,5.5,104,-141,0.0,HIT
Tanner Gordon,COL,Pitcher Strikeouts,2.5,2.5,−120,Over,2.5,-136,100,3.0,HIT
Zach Eflin,BAL,Pitcher Strikeouts,3.0,3.5,−145,Under,3.5,105,-141,5.0,MISS
