player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Bradley Blalock,COL,Pitcher Strikeouts,2.5,2.5,−125,Under,2.5,-115,-118,0.0,HIT
Brandon Young,BAL,Pitcher Strikeouts,4.0,3.5,−150,Over,3.5,-159,117,3.0,MISS
Casey Mize,DET,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,101,-137,5.0,MISS
Cam Schlittler,NYY,Pitcher Strikeouts,4.0,3.5,−145,Over,3.5,-162,119,3.0,MISS
Chase Burns,CIN,Pitcher Strikeouts,6.0,5.5,−165,Over,5.5,-164,120,10.0,HIT
Cristopher Sánchez,PHI,Pitcher Strikeouts,6.0,6.5,−135,Under,6.5,111,-150,,
Davis Daniel,ATL,Pitcher Strikeouts,4.0,4.5,−155,Under,4.5,113,-154,3.0,HIT
Drew Rasmussen,TB,Pitcher Strikeouts,4.0,3.5,−165,Over,4.5,124,-167,5.0,HIT
Edward Cabrera,MIA,Pitcher Strikeouts,4.5,4.5,−120,Under,4.5,-109,-124,6.0,MISS
Eduardo Rodriguez,AZ,Pitcher Strikeouts,5.5,5.5,−140,Under,5.5,-102,-134,,
Erick Fedde,STL,Pitcher Strikeouts,4.0,3.5,−150,Over,3.5,-154,113,5.0,HIT
Frankie Montas,NYM,Pitcher Strikeouts,5.5,5.5,−130,Under,5.5,103,-139,6.0,MISS
Framber Valdez,HOU,Pitcher Strikeouts,5.0,5.5,−150,Under,5.5,116,-157,4.0,HIT
J.T. Ginn,ATH,Pitcher Strikeouts,3.0,3.5,−145,Under,3.5,105,-141,2.0,HIT
Jacob deGrom,TEX,Pitcher Strikeouts,7.0,6.5,−150,Over,6.5,-148,108,9.0,HIT
Jacob Misiorowski,MIL,Pitcher Strikeouts,6.0,6.5,−155,Under,6.5,119,-162,7.0,MISS
Joey Cantillo,CLE,Pitcher Strikeouts,6.0,6.5,−150,Under,6.5,108,-148,5.0,HIT
Kyle Hendricks,LAA,Pitcher Strikeouts,3.0,3.5,−170,Under,3.5,116,-159,2.0,HIT
Landen Roupp,SF,Pitcher Strikeouts,4.0,3.5,−170,Over,4.5,122,-167,6.0,HIT
Logan Gilbert,SEA,Pitcher Strikeouts,7.0,6.5,−140,Over,6.5,-143,106,10.0,HIT
Matthew Boyd,CHC,Pitcher Strikeouts,5.0,4.5,−130,Over,4.5,-136,100,6.0,HIT
Max Scherzer,TOR,Pitcher Strikeouts,5.5,5.5,−125,Over,5.5,-145,107,4.0,MISS
Mitch Keller,PIT,Pitcher Strikeouts,5.0,4.5,−145,Over,4.5,-170,125,5.0,PUSH
Richard Fitts,BOS,Pitcher Strikeouts,3.5,3.5,−120,Over,3.5,-115,-115,4.0,HIT
Simeon Woods Richardson,MIN,Pitcher Strikeouts,3.5,3.5,−125,Over,3.5,-121,-113,2.0,MISS
Stephen Kolek,SD,Pitcher Strikeouts,3.5,3.5,−120,Under,3.5,103,-139,5.0,MISS
Yoshinobu Yamamoto,LAD,Pitcher Strikeouts,7.0,6.5,−145,Over,6.5,-150,110,8.0,HIT
