player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Adrian Houser,CWS,Pitcher Strikeouts,3.5,3.5,−130,Over,3.5,-132,-104,5,HIT
Antonio Senzatela,COL,Pitcher Strikeouts,2.5,2.5,−120,Over,2.5,-132,-103,3,HIT
Brayan Bello,BOS,Pitcher Strikeouts,4.5,4.5,−120,Under,4.5,-124,-110,4,HIT
Cal Quantrill,MIA,Pitcher Strikeouts,3.0,3.5,−155,Under,2.5,-218,158,3,PUSH
Dean Kremer,BAL,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,107,-145,6,MISS
Emmet Sheehan,LAD,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-115,-115,3,MISS
Eric Lauer,TOR,Pitcher Strikeouts,5.0,4.5,−130,Over,4.5,-152,111,7,HIT
Freddy Peralta,MIL,Pitcher Strikeouts,5.0,5.5,−140,Under,5.5,113,-152,4,HIT
Joey Wentz,ATL,Pitcher Strikeouts,3.0,2.5,−165,Over,2.5,-176,129,2,MISS
Keider Montero,DET,Pitcher Strikeouts,3.5,3.5,−130,Over,3.5,-139,103,5,HIT
Kumar Rocker,TEX,Pitcher Strikeouts,4.5,4.5,−120,Over,4.5,-124,-109,5,HIT
Lance McCullers Jr.,HOU,Pitcher Strikeouts,5.0,5.5,−130,Under,5.5,108,-145,1,HIT
Logan Allen,CLE,Pitcher Strikeouts,5.0,4.5,−125,Over,4.5,-137,101,4,MISS
Logan Evans,SEA,Pitcher Strikeouts,4.0,3.5,−145,Over,3.5,-143,105,5,HIT
Logan Webb,SF,Pitcher Strikeouts,5.5,5.5,−130,Under,5.5,106,-143,1,HIT
Luis Severino,ATH,Pitcher Strikeouts,4.0,3.5,−135,Over,3.5,-154,114,3,MISS
Mike Burrows,PIT,Pitcher Strikeouts,4.0,4.5,−145,Under,4.5,104,-141,6,MISS
Mitchell Parker,WSH,Pitcher Strikeouts,3.0,3.5,−165,Under,3.5,122,-167,4,MISS
Michael Wacha,KC,Pitcher Strikeouts,4.0,4.5,−140,Under,4.5,107,-145,1,HIT
Nick Martinez,CIN,Pitcher Strikeouts,4.0,3.5,−160,Over,3.5,-176,129,5,HIT
Ryne Nelson,AZ,Pitcher Strikeouts,4.0,3.5,−165,Over,3.5,-176,129,4,PUSH
Shota Imanaga,CHC,Pitcher Strikeouts,5.5,5.5,−135,Under,5.5,107,-145,5,HIT
Sonny Gray,STL,Pitcher Strikeouts,5.5,5.5,−130,Over,5.5,-134,-102,5,MISS
Taijuan Walker,PHI,Pitcher Strikeouts,3.0,3.5,−150,Under,3.5,101,-137,4,MISS
Will Warren,NYY,Pitcher Strikeouts,5.0,4.5,−155,Over,4.5,-137,101,5,PUSH
Yu Darvish,SD,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-124,-110,1,MISS
Yusei Kikuchi,LAA,Pitcher Strikeouts,5.5,5.5,−135,Over,6.5,106,-143,8,HIT
Zack Littell,TB,Pitcher Strikeouts,4.5,4.5,−135,Under,4.5,-103,-132,3,HIT
Zebby Matthews,MIN,Pitcher Strikeouts,5.0,5.5,−155,Under,4.5,-162,120,6,MISS
