player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Framber Valdez,HOU,Pitcher Strikeouts,6.5,6.5,−130,Under,6.5,-104,-130,10,MISS
Jacob deGrom,TEX,Pitcher Strikeouts,6.0,6.5,−140,Under,6.5,109,-148,8,MISS
Jacob Lopez,ATH,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-115,-115,5,MISS
Kevin Gausman,TOR,Pitcher Strikeouts,6.5,6.5,−125,Over,6.5,-129,-106,2,MISS
Yu Darvish,SD,Pitcher Strikeouts,5.0,4.5,−140,Over,4.5,-157,116,2,MISS
Yusei Kikuchi,LAA,Pitcher Strikeouts,5.5,5.5,−115,Over,5.5,-110,-124,5,MISS
Zac Gallen,AZ,Pitcher Strikeouts,6.0,5.5,−160,Over,5.5,-157,115,3,MISS
Zack Wheeler,PHI,Pitcher Strikeouts,6.5,6.5,−115,Over,6.5,-102,-134,6,MISS
