Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID,year,player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
freddy peralta,27,654,Maj-NL,Milwaukee,30,30,12.0,10.0,,165.2,131,77,71,54,210,26,6,3.86,617,30,0,0,7,1,7,0,0,680,2839,0.63,0.15,0.14,0.43,0.21,0.1,1.117,0.275,11.4,3.89,642547,2023,642547,680,30.9,7.9,0.291,0.284,32.3,8.6,37.7,75.952795517,93.704981926,33.6,47.8
martin perez,32,647,Maj-AL,Texas,35,20,10.0,4.0,,141.2,150,74,70,49,93,21,4,4.45,547,24,2,1,18,5,3,1,0,608,2225,0.64,0.18,0.07,0.46,0.23,0.06,1.405,0.295,5.9,1.9,527048,2023,527048,608,15.3,8.1,0.335,0.337,33.1,7.6,37.2,78.339075442,93.950532389,17.5,45.3
nick pivetta,30,649,Maj-AL,Boston,38,16,10.0,9.0,1.0,142.2,110,69,64,50,183,23,6,4.04,528,31,1,1,7,2,12,2,1,587,2380,0.65,0.16,0.13,0.37,0.27,0.04,1.121,0.269,11.5,3.66,601713,2023,601713,587,31.2,8.5,0.296,0.308,40.1,11.8,43.8,80.327621156,94.780976127,29.6,48.9
colin rea,32,649,Maj-NL,Milwaukee,26,22,6.0,6.0,,124.2,110,65,63,38,110,23,4,4.55,468,18,3,0,9,4,17,2,0,517,2018,0.66,0.18,0.1,0.44,0.23,0.07,1.187,0.257,7.9,2.89,607067,2023,607067,517,21.3,7.4,0.313,0.323,34.5,7.7,43.3,79.914554222,94.82878625,24.0,47.9
eduardo rodriguez,30,647,Maj-AL,Detroit,25,25,13.0,8.0,,147.1,125,56,53,46,138,14,3,3.24,544,25,2,0,11,6,10,5,0,600,2357,0.66,0.18,0.1,0.43,0.26,0.07,1.161,0.279,8.4,3.0,593958,2023,593958,621,23.0,7.7,0.284,0.31,31.4,7.5,38.5,76.990684623,94.247869548,23.8,47.8
grayson rodriguez,23,651,Maj-AL,Baltimore,23,23,7.0,4.0,,122.0,121,62,59,42,129,16,2,4.35,467,18,4,0,14,3,4,2,1,515,2104,0.66,0.15,0.12,0.47,0.26,0.04,1.336,0.323,9.5,3.07,680570,2023,680570,515,25.0,8.2,0.32,0.316,33.4,7.3,43.7,79.61343345,94.422562845,26.3,50.4
joe ryan,27,649,Maj-AL,Minnesota,29,29,11.0,10.0,,161.2,155,83,81,34,197,32,6,4.51,626,30,1,0,7,6,7,3,0,672,2685,0.69,0.14,0.14,0.33,0.23,0.09,1.169,0.305,11.0,5.79,657746,2023,657746,672,29.3,5.1,0.316,0.291,34.0,8.7,41.6,79.798987488,94.412337442,26.8,55.1
patrick sandoval,26,653,Maj-AL,Los Angeles,28,28,7.0,13.0,,144.2,145,89,66,74,128,12,4,4.11,567,29,1,2,12,3,7,3,3,652,2621,0.62,0.16,0.12,0.47,0.28,0.06,1.514,0.309,8.0,1.73,663776,2023,663776,652,19.6,11.3,0.318,0.332,38.0,7.0,35.1,76.334476941,93.456079153,27.7,46.6
max scherzer,38,666,"Maj-AL,Maj-NL","New York,Texas",26,26,12.0,6.0,,146.2,122,62,61,43,168,27,4,3.74,550,20,0,0,6,2,9,1,0,599,2375,0.66,0.15,0.13,0.34,0.23,0.1,1.125,0.266,10.3,3.91,453286,2023,453286,621,28.0,7.2,0.298,0.281,32.2,8.5,36.9,77.751416869,93.790833646,28.6,51.0
clarke schmidt,27,648,Maj-AL,New York,33,32,9.0,9.0,,159.0,169,91,82,46,149,24,11,4.64,630,41,1,0,13,7,8,3,0,694,2713,0.65,0.18,0.1,0.44,0.24,0.08,1.352,0.313,8.4,3.24,657376,2023,657376,694,21.5,6.6,0.334,0.32,31.1,7.6,41.0,77.79197595,94.39970499,22.8,47.1
jp sears,27,647,Maj-AL,Oakland,32,32,5.0,14.0,,172.1,165,90,87,53,161,34,16,4.54,662,33,4,2,9,3,15,8,3,735,2867,0.65,0.14,0.11,0.3,0.22,0.12,1.265,0.279,8.4,3.04,676664,2023,676664,735,21.9,7.2,0.335,0.33,32.7,11.1,38.4,77.25363428,94.084952044,24.8,51.0
kodai senga,30,651,Maj-NL,New York,29,29,12.0,7.0,,166.1,126,60,55,77,202,17,5,2.98,606,21,0,0,13,4,11,3,1,694,2792,0.61,0.16,0.13,0.44,0.22,0.09,1.22,0.279,10.9,2.62,673540,2023,673540,694,29.1,11.1,0.282,0.303,31.5,6.8,40.6,77.901311034,94.284814148,29.7,45.2
brady singer,26,660,Maj-AL,Kansas City,29,29,8.0,11.0,,159.2,182,102,98,49,133,20,8,5.52,634,44,5,0,13,10,11,3,0,702,2613,0.64,0.18,0.1,0.5,0.24,0.04,1.447,0.33,7.5,2.71,663903,2023,663903,702,18.9,7.0,0.346,0.339,34.8,7.8,48.6,80.379261107,95.275444743,22.7,45.6
drew smyly,34,647,Maj-NL,Chicago,41,23,11.0,11.0,,142.1,147,89,79,56,141,26,6,5.0,554,36,2,0,10,7,15,5,5,626,2403,0.63,0.16,0.11,0.36,0.24,0.12,1.426,0.307,8.9,2.52,592767,2023,592767,626,22.5,8.9,0.348,0.313,35.9,7.3,33.6,76.258119279,93.493708582,27.1,46.6
blake snell,30,653,Maj-NL,San Diego,31,31,14.0,8.0,,175.2,109,44,42,98,225,15,3,2.15,616,20,0,0,13,3,25,1,1,721,3076,0.58,0.16,0.15,0.44,0.26,0.05,1.178,0.248,11.5,2.3,605483,2023,605483,742,31.5,13.3,0.266,0.3,37.0,7.4,33.8,75.667264472,93.364914171,37.3,42.9
justin steele,27,652,Maj-NL,Chicago,30,30,16.0,5.0,,173.1,167,71,59,36,176,14,7,3.06,666,34,2,0,14,2,8,4,1,716,2681,0.68,0.15,0.12,0.5,0.24,0.06,1.171,0.32,9.1,4.89,657006,2023,657006,716,24.6,5.0,0.291,0.29,33.4,5.4,36.6,76.614522327,93.56474102,24.0,52.9
spencer strider,24,648,Maj-NL,Atlanta,32,32,20.0,5.0,,186.2,146,85,80,58,281,22,9,3.86,696,29,3,1,6,0,19,2,1,763,3100,0.68,0.15,0.19,0.35,0.26,0.07,1.093,0.316,13.5,4.84,675911,2023,675911,763,36.8,7.6,0.279,0.273,40.2,8.2,36.1,77.7258957,93.784333768,38.6,53.0
marcus stroman,32,650,Maj-NL,Chicago,26,24,9.0,9.0,,130.2,117,68,60,49,111,9,3,4.13,499,27,0,0,15,1,17,1,1,552,2115,0.62,0.17,0.09,0.57,0.24,0.02,1.27,0.284,7.6,2.27,573186,2023,573186,575,20.7,9.0,0.285,0.318,30.7,5.0,41.4,79.8502842,94.625671429,22.4,45.1
ranger suarez,27,651,Maj-NL,Philadelphia,22,22,4.0,6.0,,125.0,129,59,58,48,119,13,2,4.18,483,26,3,0,14,4,7,2,0,540,2023,0.63,0.18,0.09,0.49,0.26,0.04,1.416,0.327,8.6,2.48,624133,2023,624133,540,22.0,8.9,0.325,0.321,35.3,7.5,36.1,76.421901685,93.62207436,23.1,45.0
jameson taillon,31,648,Maj-NL,Chicago,30,29,8.0,10.0,1.0,154.1,156,96,83,41,140,27,5,4.84,604,28,1,0,10,5,13,3,0,655,2534,0.66,0.17,0.1,0.38,0.24,0.1,1.276,0.292,8.2,3.41,592791,2023,592791,655,21.4,6.3,0.322,0.332,36.2,10.7,38.4,76.828018498,94.064186052,22.0,49.1
framber valdez,29,651,Maj-AL,Houston,30,30,12.0,11.0,,193.0,160,86,76,57,196,19,9,3.54,707,36,3,0,22,8,19,1,1,786,2868,0.64,0.16,0.12,0.55,0.24,0.02,1.124,0.282,9.1,3.44,664285,2023,664285,808,24.8,7.1,0.287,0.319,30.9,8.0,45.6,81.844590865,95.101299868,26.8,47.2
justin verlander,40,648,"Maj-AL,Maj-NL","Houston,New York",27,27,13.0,8.0,,162.1,139,63,58,45,144,18,5,3.22,615,30,2,0,8,4,11,2,1,669,2603,0.66,0.16,0.1,0.36,0.23,0.12,1.133,0.265,8.0,3.2,434378,2023,434378,669,21.5,6.7,0.284,0.295,30.5,8.2,41.3,79.990406017,94.269512972,22.5,49.6
michael wacha,31,648,Maj-NL,San Diego,24,24,14.0,4.0,,134.1,113,49,48,43,124,15,3,3.22,505,32,1,0,5,2,4,3,0,553,2222,0.65,0.17,0.11,0.35,0.25,0.09,1.161,0.266,8.3,2.88,608379,2023,608379,553,22.4,7.8,0.291,0.318,38.6,7.3,35.5,77.384295812,93.517212696,24.6,47.9
ken waldichuk,25,649,Maj-AL,Oakland,35,22,4.0,9.0,1.0,141.0,149,93,84,71,132,24,9,5.36,550,39,2,1,13,6,7,6,4,639,2551,0.62,0.14,0.11,0.41,0.23,0.08,1.56,0.313,8.4,1.86,686610,2023,686610,639,20.7,11.1,0.361,0.331,34.7,7.7,38.5,77.103488815,93.79839827,25.1,47.5
taijuan walker,30,648,Maj-NL,Philadelphia,31,31,15.0,6.0,,172.2,155,87,84,71,138,20,8,4.38,650,35,4,1,8,3,12,7,6,733,2838,0.61,0.17,0.08,0.45,0.23,0.06,1.309,0.273,7.2,1.94,592836,2023,592836,733,18.8,9.7,0.313,0.321,33.1,6.8,40.9,77.901900078,94.417705363,20.5,44.1
luke weaver,29,650,"Maj-AL,Maj-NL","Cincinnati,New York,Seattle",29,25,3.0,6.0,,123.2,155,90,88,40,109,29,4,6.4,515,40,3,0,6,4,3,2,0,563,2258,0.63,0.16,0.09,0.36,0.29,0.07,1.577,0.331,7.9,2.73,596133,2023,596133,563,19.4,7.1,0.385,0.357,40.2,9.8,42.0,78.04239848,94.508679902,21.6,47.3
logan webb,26,653,Maj-NL,San Francisco,32,32,11.0,12.0,,210.0,197,79,74,29,182,18,5,3.17,789,34,4,0,30,0,19,4,0,826,3092,0.68,0.2,0.09,0.63,0.21,0.02,1.076,0.304,7.8,6.28,657277,2023,657277,850,22.8,3.6,0.283,0.295,28.4,6.9,46.0,79.69594423,95.252167361,20.8,47.4
zack wheeler,33,650,Maj-NL,Philadelphia,32,32,13.0,6.0,,192.0,168,82,77,39,212,20,9,3.61,734,35,2,0,6,5,3,4,0,787,3153,0.66,0.14,0.13,0.41,0.24,0.09,1.078,0.292,9.9,5.44,554430,2023,554430,787,26.9,5.0,0.277,0.277,35.1,5.1,36.4,75.393585916,93.267420573,28.6,51.3
trevor williams,31,649,Maj-NL,Washington,30,30,6.0,10.0,,144.1,178,97,89,53,111,34,5,5.55,593,32,2,1,8,7,9,1,0,659,2625,0.61,0.14,0.08,0.4,0.24,0.08,1.6,0.316,6.9,2.09,592866,2023,592866,658,16.9,7.9,0.377,0.359,36.9,10.2,38.6,77.005416033,93.997254483,19.0,47.1
andrew abbott,25,325,Maj-NL,Cincinnati,25,25,10.0,10.0,,138.0,127,60,57,52,114,25,2,3.72,529,28,1,1,6,2,10,4,3,586,2333,0.64,0.16,0.09,0.35,0.21,0.12,1.297,0.26,7.4,2.19,671096,2024,671096,586,19.5,8.9,0.323,0.31,36.6,9.3,33.5,78.18333039,93.177609095,22.6,47.6
tyler anderson,34,286,Maj-AL,Los Angeles,31,31,10.0,15.0,,179.1,158,83,76,73,142,24,7,3.81,681,32,3,2,6,4,15,3,0,765,2914,0.64,0.15,0.13,0.38,0.24,0.08,1.288,0.258,7.1,1.95,542881,2024,542881,765,18.6,9.5,0.308,0.322,34.1,7.9,33.0,76.273537333,93.1219435,27.8,49.3
spencer arrighetti,24,285,Maj-AL,Houston,29,28,7.0,13.0,,145.0,139,80,73,65,171,21,7,4.53,557,32,1,0,5,3,16,5,1,632,2505,0.64,0.17,0.12,0.36,0.28,0.08,1.407,0.321,10.6,2.63,681293,2024,681293,632,27.1,10.3,0.332,0.311,38.3,7.7,39.8,77.934348615,94.124621851,27.7,47.2
javier assad,26,287,Maj-NL,Chicago,29,29,7.0,6.0,,147.0,143,64,61,63,124,20,5,3.73,562,30,2,0,10,4,11,6,2,638,2538,0.61,0.19,0.07,0.44,0.23,0.06,1.401,0.291,7.6,1.97,665871,2024,665871,638,19.4,9.9,0.33,0.341,36.0,8.8,39.8,78.304060092,94.272452936,17.9,42.5
chris bassitt,35,289,Maj-AL,Toronto,30,30,10.0,13.0,,166.0,174,86,75,68,162,17,15,4.07,646,29,1,2,13,3,14,9,2,734,2865,0.63,0.18,0.09,0.4,0.27,0.08,1.458,0.334,8.8,2.38,605135,2024,605135,758,22.2,9.2,0.331,0.327,36.3,7.5,37.1,75.64419492,94.077816493,21.7,45.0
brayan bello,25,288,Maj-AL,Boston,29,29,13.0,8.0,,157.1,152,82,79,64,151,18,10,4.52,603,30,0,0,14,5,12,2,1,682,2628,0.63,0.17,0.11,0.51,0.24,0.05,1.373,0.305,8.6,2.36,678394,2024,678394,702,21.8,9.1,0.319,0.328,34.2,7.4,41.1,76.384630975,94.524067665,25.9,46.3
jose berrios,30,285,Maj-AL,Toronto,31,31,15.0,11.0,,186.1,162,77,75,53,147,30,13,3.62,692,19,4,1,20,2,11,4,4,763,2824,0.66,0.19,0.09,0.43,0.24,0.07,1.154,0.255,7.1,2.77,621244,2024,621244,786,19.5,6.9,0.308,0.334,36.3,7.8,41.8,79.087839143,94.188449928,21.1,46.7
tanner bibee,25,288,Maj-AL,Cleveland,30,30,12.0,8.0,,169.2,144,67,64,39,183,22,8,3.39,634,39,4,0,6,6,5,6,7,688,2764,0.67,0.15,0.12,0.34,0.24,0.09,1.079,0.28,9.7,4.69,676440,2024,676440,710,26.3,6.2,0.299,0.3,37.4,7.0,36.9,77.504108675,93.719329103,26.9,51.0
ronel blanco,30,281,Maj-AL,Houston,31,29,13.0,6.0,,169.1,115,56,52,71,170,22,2,2.76,606,26,3,0,12,5,7,3,2,686,2802,0.64,0.15,0.13,0.4,0.21,0.09,1.098,0.222,9.0,2.39,669854,2024,669854,676,24.6,10.1,0.276,0.309,30.1,9.3,35.5,78.14814367,93.702377385,29.0,48.6
taj bradley,23,285,Maj-AL,Tampa Bay,25,25,8.0,11.0,,138.0,122,68,63,47,154,22,3,4.11,519,22,1,0,11,5,6,0,0,578,2295,0.65,0.14,0.13,0.42,0.24,0.06,1.225,0.287,10.0,3.28,671737,2024,671737,578,26.6,8.1,0.308,0.314,34.9,10.2,42.9,81.556942554,94.766375924,27.4,50.7
hunter brown,25,289,Maj-AL,Houston,30,29,11.0,9.0,,166.0,152,70,66,58,174,18,5,3.58,629,16,2,0,12,2,20,9,0,694,2801,0.63,0.17,0.1,0.48,0.23,0.07,1.265,0.305,9.4,3.0,686613,2024,686613,712,25.1,8.4,0.296,0.283,28.0,4.5,30.3,74.687517768,92.855098176,25.1,46.3
corbin burnes,29,281,Maj-AL,Baltimore,32,32,14.0,10.0,,196.1,169,76,63,49,173,21,2,2.89,738,21,1,0,12,3,42,7,5,792,2999,0.64,0.15,0.13,0.49,0.2,0.09,1.11,0.271,7.9,3.53,669203,2024,669203,784,23.1,6.1,0.273,0.284,26.8,6.7,31.6,76.693803832,93.206229159,28.6,48.8
griffin canning,28,284,Maj-AL,Los Angeles,31,30,6.0,12.0,,166.2,167,100,94,65,128,30,6,5.08,634,25,3,1,17,9,6,3,3,716,2775,0.63,0.14,0.11,0.42,0.23,0.06,1.392,0.282,6.9,1.97,656288,2024,656288,739,17.6,8.9,0.341,0.333,32.4,8.6,41.9,80.443886517,94.700505891,24.5,48.4
jonathan cannon,23,283,Maj-AL,Chicago,23,21,5.0,10.0,1.0,124.1,125,65,62,40,91,18,4,4.49,475,24,3,0,13,2,10,7,1,522,2028,0.63,0.16,0.09,0.38,0.28,0.08,1.327,0.291,6.6,2.28,686563,2024,686563,522,17.4,7.7,0.332,0.322,38.3,7.3,36.3,78.719188912,93.823911325,21.8,47.1
luis castillo,31,304,Maj-AL,Seattle,29,29,11.0,11.0,,170.1,152,69,67,45,170,24,5,3.54,642,34,2,2,13,2,12,6,0,696,2765,0.66,0.15,0.12,0.41,0.22,0.1,1.157,0.284,9.0,3.78,622491,2024,622491,719,24.3,6.5,0.305,0.306,37.0,8.5,41.9,78.938131564,94.546516728,25.9,50.6
dylan cease,28,287,Maj-NL,San Diego,32,32,14.0,10.0,,184.2,135,77,71,63,218,18,2,3.46,669,32,1,0,11,4,6,3,0,743,3103,0.63,0.15,0.15,0.41,0.22,0.06,1.072,0.268,10.6,3.46,656302,2024,656302,762,29.4,8.5,0.266,0.283,32.4,8.5,38.6,78.282702241,94.084709267,32.4,48.2
aaron civale,29,281,"Maj-AL,Maj-NL","Milwaukee,Tampa Bay",31,30,7.0,9.0,,158.0,154,81,77,52,145,28,6,4.39,615,31,0,0,11,2,4,2,1,677,2648,0.64,0.19,0.09,0.36,0.27,0.08,1.304,0.284,8.3,2.79,650644,2024,650644,689,21.6,7.5,0.327,0.309,36.5,7.3,39.4,79.152007238,94.002413711,21.9,45.2
patrick corbin,34,286,Maj-NL,Washington,31,31,6.0,13.0,,170.1,201,110,105,53,137,23,3,5.55,680,41,7,1,16,8,23,7,2,746,2819,0.63,0.15,0.1,0.47,0.28,0.05,1.491,0.337,7.2,2.58,571578,2024,571578,764,18.2,7.1,0.357,0.357,37.3,8.3,46.7,79.877843129,95.30570991,22.4,48.2
nestor cortes,29,294,Maj-AL,New York,30,29,9.0,10.0,,169.1,157,70,69,37,157,23,4,3.67,641,43,0,0,10,4,8,5,5,688,2772,0.65,0.14,0.11,0.32,0.24,0.12,1.146,0.288,8.3,4.24,641482,2024,641482,710,22.8,5.5,0.307,0.295,35.0,7.9,43.6,79.122676225,94.470879177,24.2,50.4
kutter crawford,28,284,Maj-AL,Boston,32,32,9.0,16.0,,177.2,152,96,89,50,168,34,9,4.51,674,30,2,0,9,3,7,3,1,737,2738,0.68,0.16,0.12,0.33,0.22,0.12,1.137,0.248,8.5,3.36,676710,2024,676710,759,23.1,6.7,0.304,0.304,33.4,9.9,36.3,77.710617066,93.646279363,25.3,52.0
garrett crochet,25,285,Maj-AL,Chicago,30,30,6.0,11.0,,140.0,118,60,57,33,201,18,5,3.66,533,25,2,0,8,1,16,1,1,572,2304,0.68,0.14,0.16,0.45,0.24,0.05,1.079,0.317,12.9,6.09,676979,2024,676979,595,35.1,5.5,0.28,0.263,34.5,9.2,38.8,76.536271919,94.146127471,33.1,53.2
zach eflin,30,287,Maj-AL,"Baltimore,Tampa Bay",27,27,10.0,8.0,,159.2,160,65,60,23,129,19,2,3.38,630,28,2,0,6,3,5,4,0,659,2366,0.68,0.18,0.09,0.43,0.23,0.08,1.146,0.291,7.3,5.61,621107,2024,621107,684,19.6,3.5,0.297,0.297,30.0,7.5,36.1,76.388751434,94.040596667,21.6,50.0
nathan eovaldi,34,283,Maj-AL,Texas,28,28,12.0,8.0,,164.2,143,72,70,41,163,23,6,3.83,623,26,1,0,8,4,13,0,1,674,2533,0.68,0.16,0.13,0.49,0.23,0.04,1.117,0.272,8.9,3.98,543135,2024,543135,696,23.9,6.0,0.291,0.306,33.5,7.7,42.6,77.906442017,94.485768718,26.8,52.2
joey estes,22,284,Maj-AL,Oakland,25,24,7.0,9.0,,127.2,130,73,71,27,92,23,10,5.01,501,34,2,1,6,5,4,1,0,543,2027,0.69,0.14,0.09,0.25,0.26,0.14,1.23,0.274,6.5,3.41,683155,2024,683155,543,16.9,5.0,0.333,0.324,37.2,9.7,39.6,79.114875902,94.154264829,19.2,55.5
bailey falter,27,283,Maj-NL,Pittsburgh,27,27,8.0,9.0,,138.1,133,66,64,42,95,15,0,4.16,514,33,1,0,19,5,18,5,0,569,2071,0.66,0.17,0.09,0.38,0.26,0.08,1.265,0.289,6.2,2.26,663559,2024,663559,589,16.5,7.6,0.32,0.336,36.6,9.0,41.3,79.920380413,94.430660482,19.6,49.5
erick fedde,31,287,"Maj-AL,Maj-NL","Chicago,St. Louis",30,30,9.0,9.0,,172.2,149,64,63,51,147,18,5,3.28,642,30,4,0,12,7,10,3,2,706,2795,0.62,0.16,0.09,0.42,0.22,0.08,1.158,0.271,7.7,2.88,607200,2024,607200,726,21.2,7.2,0.293,0.306,32.4,7.6,37.7,77.502500545,93.941632164,21.6,45.5
ryan feltner,27,283,Maj-NL,Colorado,29,29,3.0,9.0,,157.1,160,89,78,50,134,19,6,4.46,609,26,2,0,16,4,26,6,1,670,2488,0.64,0.16,0.1,0.45,0.25,0.04,1.335,0.307,7.7,2.68,663372,2024,663372,692,19.9,7.5,0.32,0.32,33.1,6.5,36.8,76.695048857,93.803345297,23.9,48.1
jack flaherty,28,287,"Maj-AL,Maj-NL","Detroit,Los Angeles",27,27,13.0,7.0,,156.0,131,60,56,38,187,23,3,3.23,583,17,5,0,7,1,10,4,1,626,2559,0.64,0.18,0.13,0.39,0.28,0.06,1.083,0.289,10.8,4.92,656427,2024,656427,649,29.9,5.9,0.288,0.292,36.1,7.7,35.9,77.445862362,93.776478992,32.1,46.2
chris flexen,29,286,Maj-AL,Chicago,33,31,3.0,15.0,,160.0,180,95,88,63,123,24,2,4.95,635,44,3,1,12,3,6,4,2,707,2801,0.61,0.15,0.1,0.36,0.27,0.09,1.519,0.318,6.9,1.95,623167,2024,623167,707,17.4,8.9,0.355,0.333,37.0,8.1,37.4,77.948608016,93.935523035,22.7,46.0
max fried,30,285,Maj-NL,Atlanta,28,28,11.0,10.0,,173.2,144,68,60,54,165,13,7,3.11,641,16,1,0,20,4,11,2,2,707,2721,0.64,0.18,0.1,0.6,0.21,0.03,1.14,0.281,8.6,3.06,608331,2024,608331,714,23.2,8.0,0.273,0.299,30.4,5.0,34.6,73.871292176,93.362715837,24.1,45.9
zac gallen,28,287,Maj-NL,Arizona,27,27,13.0,6.0,,143.0,130,61,59,52,153,13,3,3.71,543,27,5,0,14,2,18,2,0,600,2413,0.62,0.18,0.1,0.46,0.26,0.04,1.273,0.309,9.6,2.94,668678,2024,668678,621,25.1,8.7,0.301,0.308,34.9,7.4,41.0,79.81895601,94.40298237,26.0,44.2
kevin gausman,33,287,Maj-AL,Toronto,30,30,14.0,11.0,,176.2,163,85,76,56,156,19,1,3.87,678,41,3,0,10,3,19,4,4,740,2890,0.65,0.15,0.11,0.39,0.23,0.07,1.24,0.285,7.9,2.79,592332,2024,592332,756,21.4,7.4,0.3,0.333,35.5,9.7,42.4,79.496181832,94.740771683,23.4,49.9
kyle gibson,36,286,Maj-NL,St. Louis,30,30,8.0,8.0,,169.2,161,91,80,68,151,23,4,4.24,641,30,4,1,21,6,8,1,0,722,2764,0.6,0.17,0.1,0.44,0.24,0.06,1.35,0.292,8.0,2.22,502043,2024,502043,722,20.9,9.4,0.323,0.338,34.3,9.2,39.1,76.558654534,94.071640304,25.9,42.9
luis gil,26,284,Maj-AL,New York,29,29,15.0,7.0,,151.2,104,60,59,77,171,18,8,3.5,550,28,2,0,4,1,6,2,4,637,2662,0.61,0.15,0.12,0.35,0.24,0.11,1.193,0.238,10.1,2.22,661563,2024,661563,637,26.8,12.1,0.288,0.302,33.7,9.5,37.4,78.931048895,94.034939077,29.0,45.5
logan gilbert,27,283,Maj-AL,Seattle,32,32,9.0,12.0,,201.2,144,82,74,36,212,26,4,3.3,731,38,1,1,16,4,14,4,2,777,2951,0.65,0.15,0.15,0.45,0.24,0.07,0.893,0.237,9.5,5.89,669302,2024,669302,803,27.4,4.6,0.255,0.276,33.0,7.2,39.3,78.976067127,94.386132799,31.7,50.4
tyler glasnow,30,332,Maj-NL,Los Angeles,20,20,8.0,6.0,,123.0,88,50,49,30,160,14,0,3.59,447,27,2,0,9,1,13,4,0,480,1853,0.66,0.17,0.14,0.5,0.22,0.06,0.959,0.27,11.7,5.33,607192,2024,607192,522,32.2,6.7,0.258,0.254,32.5,8.5,40.1,78.136298153,94.139426422,30.9,48.4
austin gomber,30,287,Maj-NL,Colorado,29,29,5.0,12.0,,160.1,172,85,83,35,113,28,1,4.66,634,38,4,0,8,4,12,2,1,674,2530,0.66,0.17,0.09,0.38,0.27,0.06,1.291,0.29,6.3,3.23,596295,2024,596295,696,16.7,5.5,0.339,0.344,37.7,9.6,41.2,80.036265299,94.432492071,19.9,48.3
mackenzie gore,25,284,Maj-NL,Washington,32,32,10.0,12.0,,166.1,171,93,72,65,181,15,11,3.9,649,36,3,0,21,4,26,2,0,731,2995,0.64,0.14,0.12,0.4,0.3,0.05,1.419,0.341,9.8,2.78,669022,2024,669022,731,24.8,8.9,0.324,0.316,36.2,6.8,38.1,76.776975684,93.73951438,28.6,50.4
sonny gray,34,294,Maj-NL,St. Louis,28,28,13.0,9.0,,166.1,142,79,71,39,203,21,3,3.84,623,33,6,0,13,3,25,5,1,671,2484,0.66,0.18,0.14,0.44,0.26,0.05,1.088,0.301,11.0,5.21,543243,2024,543243,671,30.3,5.8,0.292,0.296,38.1,8.9,37.9,79.276406538,94.211961253,29.8,48.7
hunter greene,24,283,Maj-NL,Cincinnati,25,25,9.0,5.0,,145.2,91,45,44,53,162,12,19,2.72,509,18,3,0,4,5,11,3,2,589,2463,0.64,0.14,0.13,0.35,0.2,0.12,0.989,0.232,10.0,3.06,668881,2024,668881,611,27.7,9.3,0.265,0.271,29.0,5.2,32.5,76.321243094,93.167150497,29.7,50.6
kyle harrison,22,309,Maj-NL,San Francisco,23,23,6.0,7.0,,118.1,119,63,61,42,113,16,7,4.64,453,23,1,0,9,6,18,6,2,509,2002,0.64,0.18,0.1,0.42,0.23,0.06,1.361,0.312,8.6,2.69,690986,2024,690986,532,22.2,7.9,0.33,0.338,34.2,10.1,44.1,80.405098066,94.933663315,23.6,46.2
andrew heaney,33,284,Maj-AL,Texas,32,31,5.0,14.0,,160.0,159,84,76,41,159,23,12,4.28,634,30,1,1,6,3,8,1,0,693,2732,0.66,0.15,0.12,0.34,0.28,0.07,1.25,0.299,8.9,3.88,571760,2024,571760,693,22.9,5.9,0.312,0.325,37.4,8.3,40.1,78.990582236,94.388347616,26.3,50.3
kyle hendricks,34,284,Maj-NL,Chicago,28,23,4.0,11.0,,127.0,138,83,81,41,85,19,3,5.74,495,14,1,0,5,7,14,7,2,546,2063,0.65,0.19,0.08,0.45,0.24,0.08,1.409,0.299,6.0,2.07,543294,2024,543294,567,15.3,7.6,0.339,0.336,36.4,7.4,33.4,73.587198843,93.098027796,18.9,46.2
tanner houck,28,289,Maj-AL,Boston,30,30,9.0,10.0,,178.2,156,75,62,48,154,11,16,3.12,674,27,0,1,16,4,11,1,0,743,2735,0.66,0.19,0.1,0.55,0.24,0.04,1.142,0.283,7.8,3.21,656557,2024,656557,743,20.7,6.5,0.276,0.313,30.2,5.7,41.8,78.489312385,94.430703969,22.6,46.8
shota imanaga,30,290,Maj-NL,Chicago,29,29,15.0,3.0,,173.1,149,66,56,28,174,27,3,2.91,662,23,1,0,7,1,3,2,3,694,2587,0.69,0.13,0.15,0.37,0.21,0.09,1.021,0.264,9.0,6.21,684007,2024,684007,694,25.1,4.0,0.279,0.286,36.0,8.6,39.3,77.586230864,93.931424733,28.3,55.7
jake irvin,27,283,Maj-NL,Washington,32,32,10.0,14.0,,182.2,166,94,89,50,152,29,4,4.39,691,37,2,1,18,1,5,3,2,748,2966,0.65,0.17,0.1,0.45,0.22,0.07,1.182,0.268,7.5,3.04,663623,2024,663623,769,20.3,6.8,0.314,0.32,33.0,9.2,39.1,77.537675273,94.341422273,22.3,48.5
jared jones,22,285,Maj-NL,Pittsburgh,21,21,5.0,8.0,,116.0,103,57,53,37,122,18,5,4.11,435,28,4,1,10,4,5,2,2,481,1823,0.67,0.15,0.14,0.39,0.24,0.08,1.207,0.284,9.5,3.3,683003,2024,683003,504,26.2,7.7,0.314,0.311,36.9,9.8,44.5,79.019910366,94.534128685,30.2,51.6
