"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"May, Dustin",669160,2025,360,20.8,9.7,".334",".352",32.9,8.2,43.6,"78.98356125","95.162425063",20.6,43.8
"Ryan, Joe",657746,2025,383,28.2,5.2,".258",".296",32.7,11.4,40.8,"80.68459123","94.431601852",26.8,49.5
"Allen, Logan",671106,2025,343,17.5,9.9,".333",".342",29.7,9.8,33.3,"76.44305959","93.66061709",19,42.6
"Peralta, Freddy",642547,2025,385,25.5,8.8,".285",".314",36.4,9.7,36,"77.009399918","93.810417623",28.9,47.1
"Hancock, Emerson",676106,2025,335,15.8,9,".358",".371",34.4,8.1,41.7,"77.805918537","94.357054065",19.5,49
"Roupp, Landen",694738,2025,359,20.6,9.5,".316",".326",36.9,8,35.7,"75.74970541","94.094844303",25.2,43
"Singer, Brady",663903,2025,367,20.7,9.8,".320",".348",38.2,11.6,44.6,"80.93879104","95.035274056",23.1,43.1
"Gray, Sonny",543243,2025,375,26.9,4.5,".289",".309",36.1,8.3,37.7,"77.426824524","94.151508929",26.8,48.2
"Rea, Colin",607067,2025,332,16.9,5.7,".348",".364",40.9,11,43.3,"81.346150317","94.801919482",19.9,47.3
"Bubic, Kris",663460,2025,388,26,7.5,".275",".290",36.1,7.8,40,"76.697991575","94.158063622",29.7,50.7
"Corbin, Patrick",571578,2025,346,18.8,6.9,".323",".333",35.2,8.2,38.3,"78.84876624","94.11773908",24.9,46.3
"deGrom, Jacob",594798,2025,386,25.9,5.4,".241",".278",29.7,6.1,39.9,"79.239502462","94.137298726",29.6,51.5
"Luzardo, Jesús",666200,2025,408,27.2,7.8,".319",".307",36,6.1,41.3,"78.887179769","94.199795846",30.2,47.3
"Falter, Bailey",663559,2025,353,14.7,9.1,".303",".315",28.7,7.1,43.3,"78.620502955","94.530592803",17.6,45.9
"Kelly, Merrill",518876,2025,395,25.3,6.6,".280",".321",29.9,9.7,45.1,"78.911805076","95.333876439",26.3,47.5
"Kochanowicz, Jack",686799,2025,376,16.2,10.6,".361",".356",25.3,8.9,45.7,"81.431926667","95.284648885",21.9,47.7
"Baz, Shane",669358,2025,407,23.8,8.8,".320",".316",28.3,10.4,42,"78.711485522","94.677394478",25.4,48
"Mikolas, Miles",571945,2025,348,16.1,5.7,".324",".347",34.1,11.1,43.7,"78.13572291","94.632138881",16.6,46.5
"Bibee, Tanner",676440,2025,393,20.9,6.6,".310",".308",29.4,7.9,37.6,"76.85524942","94.002506727",23.8,45.1
"Boyd, Matthew",571510,2025,394,22.1,5.6,".286",".299",32.1,7.9,37.9,"77.154479784","93.866844585",22,52.2
"Crochet, Garrett",676979,2025,457,31.5,7,".258",".281",33.9,8.2,36.8,"75.868823913","93.898064945",29.9,51.6
"Heaney, Andrew",571760,2025,385,18.4,8.1,".316",".341",34.3,8.6,42.5,"79.416942754","94.743302545",21.2,48
"Hendricks, Kyle",543294,2025,371,16.2,6.2,".335",".320",31.3,8.8,35.6,"73.746408169","93.333161303",16.8,47.3
"Liberatore, Matthew",669461,2025,381,19.9,4.5,".288",".312",33.2,9.4,44.1,"80.918397589","94.95983",22.1,49.5
"Bassitt, Chris",605135,2025,412,22.6,6.1,".326",".314",32.8,7.3,34.8,"74.915506503","93.591650281",23,48.8
"Márquez, Germán",608566,2025,384,15.9,7,".366",".350",34.5,8.3,47.6,"80.877333194","95.207125556",19.2,49.2
"Lorenzen, Michael",547179,2025,400,19.5,7,".349",".332",38,8.6,41.1,"80.097849863","94.022092784",21.9,48.4
"Taillon, Jameson",592791,2025,388,19.1,5.2,".320",".332",35.4,10.5,40.1,"76.642634759","94.089968448",21.3,48.2
"Springs, Jeffrey",605488,2025,412,19.2,9,".308",".326",37.6,8.5,35.9,"77.417345782","93.737905427",25.7,46.3
"Sugano, Tomoyuki",608372,2025,373,13.9,4.8,".330",".364",37.5,10.7,37.5,"78.619947383","94.018430973",17.2,47.5
"Fedde, Erick",607200,2025,400,14.2,10.3,".327",".369",36.7,8.7,43.7,"80.919226216","94.573479898",17.4,44.2
