"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Singer, Brady",663903,2024,762,22.3,7.1,".316",".331",35.6,8,41.7,"77.275001577","94.431135896",25.1,44.7
"Gausman, Kevin",592332,2024,756,21.4,7.4,".300",".333",35.5,9.7,42.4,"79.496181832","94.740771683",23.4,49.9
"Keller, Mitch",656605,2024,773,21.5,6.5,".331",".320",38,7.2,39.3,"77.859026134","94.078079089",21.5,47.6
"Gomber, Austin",596295,2024,696,16.7,5.5,".339",".344",37.7,9.6,41.2,"80.036265299","94.432492071",19.9,48.3
"Burnes, Corbin",669203,2024,784,23.1,6.1,".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Sears, JP",676664,2024,758,18.1,6.5,".324",".324",32.7,10.2,40.2,"78.173332182","94.379787855",21.8,48.7
"Berríos, José",621244,2024,786,19.5,6.9,".308",".334",36.3,7.8,41.8,"79.087839143","94.188449928",21.1,46.7
"Mikolas, Miles",571945,2024,720,16.9,3.5,".339",".331",38.1,8.1,42.3,"77.511449435","94.25374515",16.4,49.8
"Corbin, Patrick",571578,2024,764,18.2,7.1,".357",".357",37.3,8.3,46.7,"79.877843129","95.30570991",22.4,48.2
"Kirby, George",669923,2024,778,23,3,".287",".288",30.5,8.1,36.3,"78.774593274","93.753520357",24.1,53.4
"Nola, Aaron",605400,2024,820,24,6.1,".310",".299",35.4,7.2,38.2,"77.265343569","94.038174053",25.2,48.6
"Lugo, Seth",607625,2024,836,21.7,5.7,".278",".300",32.8,8,39,"77.299278949","93.994017356",22.5,46.7
"Webb, Logan",657277,2024,841,20.5,5.9,".288",".320",32.1,7,46.2,"77.927662825","95.233452829",20.8,46.2
