Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Predicted Ks,Actual_SO,Result
Luis Severino,ATH,3.0,3.5,3.5,UNDER,-168.0,14.3%,Stat,,8.0,MISS
Hunter Dobbins,BOS,3.0,3.5,3.5,UNDER,-172.0,14.2%,Stat,,2.0,HIT
Lance McCullers Jr.,HOU,5.0,5.5,5.5,UNDER,-164.0,12.5%,Stat,,5.0,PUSH
Ryne Nelson,AZ,5.0,4.5,5.5,UNDER,-164.0,12.5%,Stat,,1.0,HIT
Tyler Anderson,LAA,4.0,4.5,4.5,UNDER,-164.0,12.3%,Stat,,3.0,HIT
─── MODEL PICKS ───,,,,,,,,,,,
Grant Holmes,ATL,5.0,,,OVER,-21.0,2.85,Model,7.85,1.0,MISS
Michael Wacha,KC,4.0,,,OVER,-18.0,0.68,Model,4.68,5.0,HIT
Logan Webb,SF,5.5,,,OVER,-119.0,0.67,Model,6.17,6.0,HIT
Ryan Bergert,SD,3.5,,,OVER,-114.0,0.56,Model,4.06,7.0,HIT
Paul Skenes,PIT,6.5,,,OVER,-135.0,0.4,Model,6.9,6.0,MISS
