Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Predicted Ks,Actual_SO,Result
Anthony DeSclafani,AZ,3.0,2.5,2.5,OVER,-167.0,13.0%,Stat,,6.0,HIT
Emmet Sheehan,LAD,5.0,5.5,4.5,UNDER,-26.0,12.3%,Stat,,4.0,HIT
Jacob Lopez,ATH,5.0,5.5,5.5,UNDER,-154.0,11.1%,Stat,,8.0,MISS
George Kirby,SEA,6.0,5.5,5.5,OVER,-150.0,10.6%,Stat,,9.0,HIT
Matthew Boyd,CHC,5.0,5.5,5.5,UNDER,-150.0,10.6%,Stat,,9.0,MISS
─── MODEL PICKS ───,,,,,,,,,,,
Ryan Gusto,HOU,4.0,,,OVER,-17.0,2.5,Model,6.5,1.0,MISS
Anthony DeSclafani,AZ,3.0,,,OVER,-167.0,1.41,Model,4.41,6.0,HIT
Jacob Lopez,ATH,5.0,,,OVER,-16.0,0.99,Model,5.99,8.0,HIT
Michael Lorenzen,KC,4.0,,,OVER,-131.0,0.75,Model,4.75,7.0,HIT
Emmet Sheehan,LAD,5.0,,,OVER,-158.0,0.15,Model,5.15,4.0,MISS
