Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Actual_SO,Result
Sawyer Gipson-Long,DET,4.0,4.5,4.5,UNDER,-172.0,13.4%,Stat,5.0,MISS
Cade Horton,CHC,4.0,3.5,4.5,UNDER,-170.0,13.0%,Stat,2.0,HIT
Sonny Gray,STL,6.0,5.5,5.5,OVER,-165.0,13.0%,Stat,11.0,HIT
Dustin May,LAD,4.0,3.5,3.5,OVER,-161.0,12.5%,Stat,3.0,MISS
David Peterson,NYM,5.0,4.5,4.5,OVER,-164.0,12.1%,Stat,5.0,PUSH
─── MODEL PICKS ───,,,,,,,,,,UNKNOWN
Brandon Walter,HOU,4.0,,,OVER,-16.0,2.67,Model,5.0,HIT
Ryan Pepiot,TB,6.0,,,OVER,-20.0,1.8,Model,1.0,MISS
Bryce Elder,ATL,4.0,,,OVER,-22.0,1.5,Model,2.0,MISS
Merrill Kelly,AZ,5.5,,,OVER,-110.0,1.5,Model,7.0,HIT
Brayan Bello,BOS,3.5,,,OVER,-133.0,1.3,Model,1.0,MISS
