Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Predicted Ks,Actual_SO,Result
Kyle Hendricks,LAA,3.0,3.5,3.5,UNDER,-164.0,13.0%,Stat,,2.0,HIT
Landen Roupp,SF,4.0,3.5,4.5,OVER,-24.0,13.0%,Stat,,6.0,HIT
Mitch Keller,PIT,5.0,4.5,4.5,OVER,-158.0,13.0%,Stat,,5.0,PUSH
Drew Rasmussen,TB,4.0,3.5,4.5,UNDER,-166.0,12.5%,Stat,,5.0,MISS
Chase Burns,CIN,6.0,5.5,5.5,OVER,-164.0,12.3%,Stat,,10.0,HIT
─── MODEL PICKS ───,,,,,,,,,,,
Cam Schlittler,NYY,4.0,,,OVER,-154.0,1.98,Model,5.98,3.0,MISS
J.T. Ginn,ATH,3.0,,,OVER,-20.0,1.21,Model,4.21,2.0,MISS
Framber Valdez,HOU,5.0,,,OVER,-17.0,1.17,Model,6.17,4.0,MISS
Edward Cabrera,MIA,4.5,,,OVER,-114.0,1.16,Model,5.66,6.0,HIT
Jacob Misiorowski,MIL,6.0,,,OVER,-18.0,0.66,Model,6.66,7.0,HIT
