Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Predicted Ks,Actual_SO,Result
Casey Mize,DET,4.0,4.5,4.5,UNDER,-164.0,12.5%,Stat,,4.0,PUSH
Framber Valdez,HOU,5.0,5.5,4.5,UNDER,-22.0,12.3%,Stat,,7.0,MISS
Stephen Kolek,SD,4.0,3.5,4.5,OVER,-21.0,12.3%,Stat,,2.0,MISS
Chad Patrick,MIL,5.0,4.5,5.5,UNDER,-154.0,11.8%,Stat,,2.0,HIT
Jonathan Cannon,CWS,4.0,3.5,3.5,OVER,-157.0,11.4%,Stat,,1.0,MISS
─── MODEL PICKS ───,,,,,,,,,,,
Aaron Bummer,ATL,1.5,,,OVER,-126.0,2.64,Model,4.14,5.0,HIT
Framber Valdez,HOU,5.0,,,OVER,-162.0,2.02,Model,7.02,7.0,HIT
Chad Patrick,MIL,5.0,,,OVER,-12.0,1.87,Model,6.87,2.0,MISS
Patrick Corbin,TEX,3.5,,,OVER,-122.0,1.16,Model,4.66,3.0,MISS
Ryne Nelson,AZ,4.0,,,OVER,-136.0,1.05,Model,5.05,5.0,HIT
