Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Predicted Ks,Actual_SO,Result
Cal Quantrill,MIA,3.0,3.5,2.5,OVER,-186.0,18.6%,Stat,,3.0,PUSH
Joey Wentz,ATL,3.0,2.5,2.5,OVER,-170.0,13.8%,Stat,,2.0,MISS
Nick Martinez,CIN,4.0,3.5,3.5,OVER,-168.0,13.8%,Stat,,5.0,HIT
Ryne Nelson,AZ,4.0,3.5,3.5,OVER,-170.0,13.8%,Stat,,4.0,PUSH
Mitchell Parker,WSH,3.0,3.5,3.5,UNDER,-166.0,12.5%,Stat,,4.0,MISS
─── MODEL PICKS ───,,,,,,,,,,,
Freddy Peralta,MIL,5.0,,,OVER,-14.0,1.88,Model,6.88,4.0,MISS
Yusei Kikuchi,LAA,5.5,,,OVER,-14.0,1.77,Model,7.27,8.0,HIT
Dean Kremer,BAL,4.0,,,OVER,-19.0,1.7,Model,5.7,6.0,HIT
Cal Quantrill,MIA,3.0,,,OVER,-186.0,1.47,Model,4.47,3.0,PUSH
Joey Wentz,ATL,3.0,,,OVER,-170.0,1.28,Model,4.28,2.0,MISS
