Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Predicted Ks,Actual_SO,Result
Germán Márquez,COL,4.0,4.5,4.5,UNDER,-161.0,12.5%,Stat,,,
Joe Ryan,MIN,7.0,6.5,6.5,OVER,-152.0,11.4%,Stat,,11.0,HIT
Tarik Skubal,DET,8.0,7.5,7.5,OVER,-154.0,10.8%,Stat,,11.0,HIT
Bryan Woo,SEA,6.0,6.5,6.5,UNDER,-145.0,10.0%,Stat,,6.0,PUSH
Merrill Kelly,AZ,5.0,5.5,4.5,UNDER,-20.0,10.0%,Stat,,5.0,PUSH
─── MODEL PICKS ───,,,,,,,,,,,
Miles Mikolas,STL,3.5,,,OVER,-117.0,1.67,Model,5.17,3.0,MISS
Bryan Woo,SEA,6.0,,,OVER,-15.0,1.56,Model,7.56,6.0,PUSH
Germán Márquez,COL,4.0,,,OVER,-16.0,0.52,Model,4.52,,
Merrill Kelly,AZ,5.0,,,OVER,-150.0,0.49,Model,5.49,5.0,PUSH
Tarik Skubal,DET,8.0,,,OVER,-154.0,0.35,Model,8.35,11.0,HIT
