Player,Team,Line (PP),Line (DK),DK Line Diff,Line (UD),UD Line Diff,Best Bet,Average Odds,Edge
Yusei Kikuchi,LAA,7.0,7.5,0.5,7.5,0.5,UNDER,-166,13.8%
Michael Wacha,KC,4.0,4.5,0.5,4.5,0.5,UNDER,-157,12.1%
Colton Gordon,HOU,4.0,4.5,0.5,4.5,0.5,UNDER,-162,12.1%
Jacob Lopez,ATH,5.0,5.5,0.5,5.5,0.5,UNDER,-157,11.4%
Erick Fedde,STL,4.0,3.5,0.5,3.5,0.5,OVER,-152,11.4%
